Task Name,Task ID,Task Type,Date,Value
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-06-30 17:15:35,1
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-07-01 16:52:27,1.6865115246309819
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-08-02 15:44:21,1.8906081511924915
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-09-01 04:52:35,0.9125960804313432
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-10-02 17:01:10,1.445061446200052
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-11-01 14:39:05,1.5659357735584838
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-12-01 16:46:25,1.7021542946439758
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2024-12-29 16:41:10,1.9747
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-01 17:56:54,1.4811039914046333
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-02 16:31:46,1.721753875833242
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-03 17:14:20,1.8390580469959708
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-15 01:42:45,1
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-23 17:32:39,1.9747
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-28 01:46:45,1.4811039914046333
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-01-30 16:38:05,1.360832346642546
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-01 17:55:45,1.331527959858759
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-03 17:10:56,1.6488481207129393
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-06 16:23:55,1.2008383585991962
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-08 15:52:26,1.5851508698639991
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-11 18:15:54,1.3861840165077643
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-18 17:38:24,1.0844188558637982
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-24 17:59:50,1
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-02-25 17:06:49,1.48726896031426
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-03-02 17:47:12,1.1811559397375033
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-03-03 11:05:56,1.5755580276706471
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-03-04 01:39:01,1.7677941438482263
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-03-08 16:03:45,1.2153276835746618
10 min cardio,1a0fb359-2933-47b1-a60e-48b2b998f7b1,habit,2025-03-10 14:54:15,1.2960762928238299
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-06-29 15:00:34,-3.756348436390908
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-07-01 18:05:25,4.469828397967226
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-08-01 18:20:27,29.096133682050983
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-09-07 15:33:52,42.926419630524286
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-10-01 13:18:38,65.11831584537649
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-11-01 14:35:19,93.12775741024028
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-02 16:37:27,112.07363165965295
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-20 17:01:13,128.8881118574086
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-21 16:33:59,131.20735050537485
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-22 16:49:20,132.36696982935797
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-23 17:25:43,133.5265891533411
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-24 03:39:47,134.68620847732421
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-25 07:32:44,135.84582780130734
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-26 17:58:56,138.16506644927358
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-27 16:19:46,139.3246857732567
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-29 16:41:15,141.64392442122295
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2024-12-30 17:18:44,142.21492409060497
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-02 12:30:21,142.79473375259653
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-02 18:14:12,145.11397240056277
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-03 17:14:23,147.43321104852902
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-04 18:08:40,148.59283037251214
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-05 18:01:15,150.91206902047838
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-08 17:56:49,153.23130766844463
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-14 04:21:52,154.39092699242775
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-15 13:24:30,156.710165640394
Study/Procrastinate,1c3d4563-8535-4ec1-8a0e-231afbeb5936,habit,2025-01-19 18:20:07,159.02940428836024
